"","date","value","variable","Element","DL_ppb","variable_units","Class","mean_val","sd_val"
"118",2016-11-13,98.78912,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"119",2016-11-23,93.21125,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"120",2016-12-15,80.97581,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"121",2017-01-24,89.10584,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"122",2017-02-20,83.09128,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"123",2017-03-10,85.95442,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"124",2017-03-17,116.88816,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"125",2017-03-25,148.37574,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"126",2017-03-28,55.65142,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"127",2017-03-29,60.29093,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"128",2017-03-30,60.9837,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"129",2017-03-31,62.50209,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"130",2017-04-01,64.03723,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"131",2017-04-02,61.02153,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"132",2017-04-03,59.21946,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"133",2017-04-05,62.97349,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"134",2017-04-06,66.14348,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"135",2017-04-07,60.09521,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"136",2017-04-08,60.81074,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"137",2017-04-09,80.60679,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"138",2017-04-10,93.55076,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
